gene_id,log2foldchange,pvalue,padjust,gene_chr
AGAP010339,-0.166255119220241,0.300049558026931,0.552314060080326,AgamP4_3L
AGAP006238,-0.227251522984408,0.300099623756655,0.552314060080326,AgamP4_2L
AGAP006058,-3.23625335628326,0.300240813804113,1,AgamP4_2L
AGAP005610,-1.70810485596052,0.300413532155969,1,AgamP4_2L
AGAP003651,-0.14233545235845,0.30046295621275,0.55283766425004,AgamP4_2R
AGAP009099,0.644184311305482,0.300498927665763,0.55283766425004,AgamP4_3R
AGAP005775,-0.095948069039132,0.300810714012909,0.553305574228099,AgamP4_2L
AGAP012699,-0.507786399068955,0.301261729277712,0.553975488474416,AgamP4_UNKN
AGAP012764,0.255213852718731,0.301289960401723,0.553975488474416,AgamP4_UNKN
AGAP007388,-0.667667118330767,0.301449867260583,0.554023206972814,AgamP4_2L
AGAP010238,0.594572251468722,0.301562434363215,0.554023206972814,AgamP4_3R
AGAP003922,-0.458165876041043,0.301624872613504,0.554023206972814,AgamP4_2R
AGAP008771,-0.433890819938878,0.301758491481406,0.554023206972814,AgamP4_3R
AGAP013210,-0.899536895883659,0.301804504576866,0.554023206972814,AgamP4_X
AGAP001634,-0.554311662618222,0.301832310518517,0.554023206972814,AgamP4_2R
AGAP028518,-0.272160444286312,0.301940063915812,0.554023206972814,AgamP4_3L
AGAP011948,-0.161814618783227,0.301991012304669,0.554023206972814,AgamP4_3L
AGAP008191,-0.603155725052647,0.302056383437598,0.554023206972814,AgamP4_3R
AGAP007215,0.140894538711272,0.302056992033541,0.554023206972814,AgamP4_2L
AGAP004575,0.883237351189651,0.302062931751133,0.554023206972814,AgamP4_2R
AGAP000312,0.129047187332721,0.302071385071381,0.554023206972814,AgamP4_X
AGAP013524,0.118511020077116,0.302225237906333,0.554023206972814,AgamP4_2R
AGAP005093,-0.138439296684178,0.30223456047609,0.554023206972814,AgamP4_2L
AGAP001910,0.132116127908466,0.302293977377952,0.554023206972814,AgamP4_2R
AGAP004266,-0.275468055116914,0.302324498574001,0.554023206972814,AgamP4_2R
AGAP029453,0.148855965908148,0.302390922505723,0.554023206972814,AgamP4_3R
AGAP005397,0.45330563851845,0.302411937652217,0.554023206972814,AgamP4_2L
AGAP008355,-3.21976713525838,0.302468571529409,1,AgamP4_3R
AGAP011654,0.182240888065652,0.302474045892554,0.554023206972814,AgamP4_3L
