Midgut,Strain,Count
433,Gam1-MM,8
434,Gam1-MM,9
435,Gam1-MM,11
436,Gam1-MM,11
437,Gam1-MM,11
438,Gam1-MM,11
439,Gam1-MM,15
440,Gam1-MM,15
441,Gam1-MM,15
442,Gam1-MM,16
443,Gam1-MM,18
444,Gam1-MM,19
445,Gam1-MM,20
446,Gam1-MM,22
447,Gam1-MM,23
448,Gam1-MM,24
449,Gam1-MM,27
450,Gam1-MM,30
